Date;Temperature;Weather;Wind direction;Wind speed;Humidity
Dec 14 00:20;6C;overcast haze;W;15;95%
Dec 13 23:50;6C;overcast haze;W;15;85%
Dec 13 23:20;6C;overcast haze;W;13;85%
Dec 13 23:00;5C;overcast;W;15;91%
Dec 13 22:50;6C;clouds haze;W;15;95%
Dec 13 22:20;6C;clouds haze;W;17;85%
Dec 13 21:50;6C;cloudy haze;W;15;95%
Dec 13 21:20;6C;overcast haze;W;13;85%
Dec 13 20:50;6C;overcast haze;W;15;95%
Dec 13 20:20;6C;cloudy haze;W;15;95%
Dec 13 19:50;6C;overcast haze;W;19;95%
Dec 13 19:20;6C;overcast haze;SW;20;95%
Dec 13 18:50;6C;clouds haze;SW;19;95%
Dec 13 18:20;6C;clouds haze;W;15;95%
Dec 13 17:50;6C;cloudy haze;W;15;95%
Dec 13 17:20;6C;cloudy haze;W;13;95%
Dec 13 16:50;6C;cloudy haze;W;13;95%
Dec 13 16:20;6C;overcast haze;W;11;95%
Dec 13 15:50;6C;overcast haze;W;17;95%
Dec 13 15:20;6C;overcast haze;W;15;95%
Dec 13 14:50;6C;overcast haze;W;19;95%
Dec 13 14:20;6C;drizzle;W;17;95%
Dec 13 13:50;6C;drizzle;SW;17;95%
Dec 13 13:20;6C;drizzle;SW;19;95%
Dec 13 12:50;6C;drizzle;SW;17;95%
Dec 13 12:20;5C;drizzle;SW;17;95%
Dec 13 12:00;5C;overcast;SW;15;99%
Dec 13 11:50;5C;drizzle;SW;15;95%
Dec 13 11:20;5C;drizzle;SW;13;95%
Dec 13 10:50;5C;drizzle;SW;11;95%
Dec 13 10:20;5C;drizzle;S;9;95%
Dec 13 09:50;4C;drizzle;S;7;95%
Dec 13 09:20;4C;drizzle;S;7;95%
Dec 13 08:50;4C;drizzle;SW;6;95%
Dec 13 08:20;3C;drizzle;S;4;95%
Dec 13 07:50;3C;drizzle;SW;7;95%
Dec 13 07:20;3C;drizzle;SW;4;95%
Dec 13 06:50;3C;drizzle;W;7;95%
Dec 13 06:20;3C;cloudy;W;7;85%
Dec 13 05:50;4C;cloudy;W;13;80%
Dec 13 05:20;4C;cloudy;W;19;80%
Dec 13 04:50;4C;cloudy;W;15;80%
Dec 13 04:20;4C;overcast;W;20;80%
Dec 13 03:50;4C;overcast;SW;17;85%
Dec 13 03:20;4C;overcast;SW;19;85%
Dec 13 02:50;4C;cloudy;SW;17;80%
Dec 13 00:50;3C;cloudy;SW;19;85%
Dec 13 00:20;3C;cloudy;SW;19;85%
Dec 12 23:50;2C;clouds;SW;19;85%
Dec 12 23:20;2C;clouds;SW;17;85%
Dec 12 22:50;2C;few clouds;SW;17;80%
Dec 12 22:20;2C;few clouds;SW;17;80%
Dec 12 21:50;2C;few clouds;SW;17;80%
Dec 12 21:20;2C;few clouds;SW;17;80%
Dec 12 20:50;2C;few clouds;S;13;80%
Dec 12 20:20;1C;few clouds;S;13;85%
Dec 12 19:50;1C;few clouds;SW;11;75%
Dec 12 19:20;0C;few clouds;S;11;80%
Dec 12 18:50;2C;few clouds;S;13;75%
Dec 12 18:20;2C;few clouds;S;11;75%
Dec 12 18:00;1C;cloudless;S;11;75%
Dec 12 17:50;1C;dry;S;11;80%
Dec 12 17:20;1C;no or few clouds;SE;15;85%
Dec 12 16:50;1C;fair;S;11;80%
Dec 12 16:20;1C;few clouds;S;9;80%
Dec 12 15:50;1C;few clouds;SE;13;80%
Dec 12 15:20;2C;fair;SE;13;75%
Dec 12 14:50;2C;fair;SE;13;70%
Dec 12 14:20;2C;fair;SE;9;70%
Dec 12 13:50;2C;fair;SE;9;75%
Dec 12 13:20;2C;fair;E;7;70%
Dec 12 12:50;2C;fair;E;9;75%
Dec 12 12:20;2C;fair;E;11;75%
Dec 12 11:50;2C;fair;E;17;75%
Dec 12 11:20;2C;fair;E;19;75%
Dec 12 10:50;1C;fair;E;19;80%
Dec 12 10:20;1C;fair;E;19;80%
Dec 12 10:00;0C;cloudless;E;19;81%
Dec 12 09:50;1C;fair;E;17;80%
Dec 12 09:20;1C;few clouds;E;17;80%
Dec 12 08:50;1C;few clouds;NE;17;80%
Dec 12 08:20;1C;few clouds;NE;17;75%
Dec 12 07:50;1C;few clouds;E;19;80%
Dec 12 07:20;1C;clouds;NE;17;80%
Dec 12 06:50;1C;clouds;NE;17;80%
Dec 12 06:20;2C;clouds;E;20;70%
Dec 12 05:50;2C;clouds;NE;20;75%
Dec 12 05:20;2C;clouds;NE;22;80%
Dec 12 04:50;2C;drizzle;E;20;80%
Dec 12 04:20;2C;drizzle;E;20;85%
Dec 12 03:50;2C;cloudy;NE;22;85%
Dec 12 03:20;3C;cloudy;E;24;80%
Dec 12 03:00;3C;overcast;NE;24;89%
Dec 12 02:50;3C;drizzle;E;24;85%
Dec 12 00:50;6C;cloudy;N;19;85%
Dec 12 00:20;6C;cloudy;N;20;85%
Dec 11 23:50;6C;cloudy;N;20;85%
Dec 11 23:20;6C;cloudy;NW;13;85%
Dec 11 22:50;7C;cloudy;NW;17;80%
Dec 11 22:20;7C;overcast;NW;17;85%
Dec 11 21:50;7C;cloudy;NW;15;85%
Dec 11 21:20;7C;cloudy;NW;13;85%
Dec 11 21:00;6C;cloudy;NW;13;87%
Dec 11 20:50;7C;cloudy;NW;15;85%
Dec 11 20:20;7C;cloudy;NW;15;85%
Dec 11 19:50;7C;few clouds;NW;15;85%
Dec 11 19:20;7C;cloudy;NW;19;85%
Dec 11 18:50;7C;cloudy;NW;22;85%
Dec 11 18:20;7C;cloudy;W;19;85%
Dec 11 17:50;7C;cloudy;W;22;85%
Dec 11 17:20;7C;cloudy;W;22;85%
Dec 11 16:50;7C;cloudy;W;20;85%
Dec 11 16:20;7C;few clouds;W;20;85%
Dec 11 15:50;7C;few clouds;W;17;85%
Dec 11 15:20;7C;few clouds;W;22;85%
Dec 11 14:50;8C;few clouds;W;24;80%
Dec 11 14:20;8C;cloudy;W;24;85%
Dec 11 13:50;8C;cloudy;NW;28;85%
Dec 11 13:20;8C;cloudy;NW;26;85%
Dec 11 12:50;8C;cloudy;W;19;85%
Dec 11 12:20;8C;cloudy;W;19;95%
Dec 11 11:50;8C;cloudy;W;17;85%
Dec 11 11:20;7C;light showers;W;13;95%
Dec 11 10:50;7C;light showers;W;13;95%
Dec 11 10:20;7C;cloudy;W;15;95%
Dec 11 09:50;7C;light showers;W;15;95%
Dec 11 09:20;7C;light showers;W;15;85%
Dec 11 08:50;7C;light showers;W;15;85%
Dec 11 08:20;7C;clouds;W;15;85%
Dec 11 07:50;7C;clouds;W;13;85%
Dec 11 07:20;7C;clouds;W;15;85%
Dec 11 06:50;7C;overcast;W;13;95%
Dec 11 06:20;7C;overcast;W;13;95%
Dec 11 05:50;7C;overcast;SW;13;95%
Dec 11 05:20;7C;clouds;W;13;95%
Dec 11 04:50;7C;clouds;W;13;95%
Dec 11 04:20;7C;cloudy;W;13;95%
Dec 11 04:00;7C;cloudy;W;15;93%
Dec 11 03:50;7C;cloudy;W;15;95%
Dec 11 03:20;7C;cloudy;W;15;95%
Dec 11 02:50;7C;cloudy;W;15;95%
Dec 11 00:50;7C;cloudy;W;19;95%
Dec 11 00:20;7C;cloudy;W;19;95%
Dec 10 23:50;7C;clouds;W;22;95%
Dec 10 23:20;7C;clouds;W;20;95%
Dec 10 22:50;7C;clouds;W;20;95%
Dec 10 22:20;8C;clouds;W;19;85%
Dec 10 21:50;8C;clouds;W;22;85%
Dec 10 21:20;8C;few clouds;W;24;85%
Dec 10 20:50;7C;few clouds;W;17;95%
Dec 10 20:20;8C;dry;W;22;85%
Dec 10 19:50;8C;dry;W;20;85%
Dec 10 19:20;9C;dry;W;26;80%
Dec 10 19:00;8C;cloudless;W;26;84%
Dec 10 18:50;9C;dry;W;26;80%
Dec 10 18:20;9C;dry;W;26;85%
Dec 10 17:50;9C;cloudy;W;24;85%
Dec 10 17:20;10C;cloudy;W;31;80%
Dec 10 16:50;10C;cloudy;W;28;80%
Dec 10 16:20;10C;cloudy;W;26;85%
Dec 10 15:50;10C;cloudy;W;28;80%
Dec 10 15:20;10C;few clouds;W;28;85%
Dec 10 14:50;10C;cloudy;W;28;85%
Dec 10 14:20;10C;cloudy;W;20;85%
Dec 10 13:50;10C;cloudy;W;28;85%
Dec 10 13:20;10C;cloudy;W;30;85%
Dec 10 12:50;10C;cloudy;W;26;95%
Dec 10 12:20;10C;cloudy;W;22;95%
Dec 10 11:50;10C;cloudy;W;31;95%
Dec 10 11:20;10C;cloudy;W;28;95%
Dec 10 10:50;10C;cloudy;W;31;95%
Dec 10 10:20;10C;cloudy;W;26;95%
Dec 10 09:50;10C;cloudy;W;28;95%
Dec 10 09:20;9C;cloudy;W;26;95%
Dec 10 08:50;10C;light rain;W;28;95%
Dec 10 08:20;10C;light rain;W;24;95%
Dec 10 07:50;10C;light rain;W;24;95%
Dec 10 07:20;11C;light rain;W;24;85%
Dec 10 06:50;10C;light rain;W;26;95%
Dec 10 06:20;10C;light rain;W;22;95%
Dec 10 05:50;11C;light rain;W;22;95%
Dec 10 05:20;10C;light rain;W;24;95%
Dec 10 04:50;10C;light rain;W;22;95%
Dec 10 04:20;10C;rain;W;20;95%
Dec 10 03:50;10C;rain;W;20;95%
Dec 10 03:20;10C;rain;W;20;95%
Dec 10 03:00;9C;overcast;W;22;97%
Dec 10 02:50;9C;rain;W;20;95%
Dec 10 00:50;8C;rain;SW;24;95%
Dec 10 00:20;8C;rain;SW;22;95%
Dec 09 23:50;8C;rain;SW;22;95%
Dec 09 23:20;8C;rain;SW;19;95%
Dec 09 22:50;9C;rain;SW;17;95%
Dec 09 22:20;9C;rain;SW;11;95%
Dec 09 22:00;8C;overcast;SW;11;95%
Dec 09 21:50;9C;drizzle;SW;11;95%
Dec 09 21:20;9C;cloudy;SW;9;85%
Dec 09 21:00;8C;cloudy;SW;11;90%
Dec 09 20:50;8C;clouds;SW;11;95%
Dec 09 20:20;9C;clouds;SW;7;85%
Dec 09 19:50;9C;clouds;W;17;85%
